,dataset_name,category,count(*)
0,brightening_100,object,34
1,brightening_100,part,8
2,brightening_100,scene,41
3,brightening_100,texture,23
4,brightening_50,object,34
5,brightening_50,part,8
6,brightening_50,scene,42
7,brightening_50,texture,23
8,brightening_attack_100,object,34
9,brightening_attack_100,part,9
10,brightening_attack_100,scene,30
11,brightening_attack_100,texture,22
12,brightening_attack_100_dilate_10,object,39
13,brightening_attack_100_dilate_10,part,9
14,brightening_attack_100_dilate_10,scene,31
15,brightening_attack_100_dilate_10,texture,22
16,gaussian_100,color,1
17,gaussian_100,object,131
18,gaussian_100,part,21
19,gaussian_100,scene,248
20,gaussian_100,texture,21
21,gaussian_50,color,1
22,gaussian_50,object,75
23,gaussian_50,part,11
24,gaussian_50,scene,174
25,gaussian_50,texture,26
26,gaussian_attack_100,object,44
27,gaussian_attack_100,part,8
28,gaussian_attack_100,scene,36
29,gaussian_attack_100,texture,22
30,gaussian_attack_100_dilation_10,object,42
31,gaussian_attack_100_dilation_10,part,7
32,gaussian_attack_100_dilation_10,scene,35
33,gaussian_attack_100_dilation_10,texture,22
34,jpeg_10,object,54
35,jpeg_10,part,9
36,jpeg_10,scene,88
37,jpeg_10,texture,17
38,jpeg_25,object,52
39,jpeg_25,part,11
40,jpeg_25,scene,67
41,jpeg_25,texture,13
42,jpeg_50,object,39
43,jpeg_50,part,9
44,jpeg_50,scene,31
45,jpeg_50,texture,23
