,dataset_name,category,count(*)
0,brightening_100,object,45
1,brightening_100,part,8
2,brightening_100,scene,104
3,brightening_100,texture,35
4,brightening_50,object,45
5,brightening_50,part,8
6,brightening_50,scene,104
7,brightening_50,texture,35
8,brightening_attack_100,object,47
9,brightening_attack_100,part,9
10,brightening_attack_100,scene,94
11,brightening_attack_100,texture,31
12,brightening_attack_100_dilate_10,object,52
13,brightening_attack_100_dilate_10,part,9
14,brightening_attack_100_dilate_10,scene,94
15,brightening_attack_100_dilate_10,texture,31
16,gaussian_100,color,1
17,gaussian_100,object,140
18,gaussian_100,part,22
19,gaussian_100,scene,280
20,gaussian_100,texture,60
21,gaussian_50,color,1
22,gaussian_50,object,110
23,gaussian_50,part,13
24,gaussian_50,scene,243
25,gaussian_50,texture,49
26,gaussian_attack_100,object,57
27,gaussian_attack_100,part,8
28,gaussian_attack_100,scene,101
29,gaussian_attack_100,texture,32
30,gaussian_attack_100_dilation_10,object,56
31,gaussian_attack_100_dilation_10,part,8
32,gaussian_attack_100_dilation_10,scene,99
33,gaussian_attack_100_dilation_10,texture,32
34,jpeg_10,object,76
35,jpeg_10,part,9
36,jpeg_10,scene,163
37,jpeg_10,texture,36
38,jpeg_25,object,67
39,jpeg_25,part,11
40,jpeg_25,scene,144
41,jpeg_25,texture,30
42,jpeg_50,object,49
43,jpeg_50,part,9
44,jpeg_50,scene,97
45,jpeg_50,texture,35
