,dataset_name,category,count(*)
0,brightening_100,object,34
1,brightening_100,part,9
2,brightening_100,scene,30
3,brightening_100,texture,22
4,brightening_50,object,34
5,brightening_50,part,8
6,brightening_50,scene,42
7,brightening_50,texture,23
8,brightening_attack_100_dilate_10,object,39
9,brightening_attack_100_dilate_10,part,9
10,brightening_attack_100_dilate_10,scene,31
11,brightening_attack_100_dilate_10,texture,22
12,gaussian_100,color,1
13,gaussian_100,object,131
14,gaussian_100,part,21
15,gaussian_100,scene,248
16,gaussian_100,texture,21
17,gaussian_50,color,1
18,gaussian_50,object,75
19,gaussian_50,part,11
20,gaussian_50,scene,174
21,gaussian_50,texture,26
22,gaussian_attack_100,object,44
23,gaussian_attack_100,part,8
24,gaussian_attack_100,scene,36
25,gaussian_attack_100,texture,22
26,gaussian_attack_100_dilation_10,object,42
27,gaussian_attack_100_dilation_10,part,7
28,gaussian_attack_100_dilation_10,scene,35
29,gaussian_attack_100_dilation_10,texture,22
