,dataset_name,category,count(*)
0,brightening_100,object,47
1,brightening_100,part,9
2,brightening_100,scene,94
3,brightening_100,texture,31
4,brightening_50,object,45
5,brightening_50,part,8
6,brightening_50,scene,104
7,brightening_50,texture,35
8,brightening_attack_100_dilate_10,object,52
9,brightening_attack_100_dilate_10,part,9
10,brightening_attack_100_dilate_10,scene,94
11,brightening_attack_100_dilate_10,texture,31
12,gaussian_100,color,1
13,gaussian_100,object,140
14,gaussian_100,part,22
15,gaussian_100,scene,280
16,gaussian_100,texture,60
17,gaussian_50,color,1
18,gaussian_50,object,110
19,gaussian_50,part,13
20,gaussian_50,scene,243
21,gaussian_50,texture,49
22,gaussian_attack_100,object,57
23,gaussian_attack_100,part,8
24,gaussian_attack_100,scene,101
25,gaussian_attack_100,texture,32
26,gaussian_attack_100_dilation_10,object,56
27,gaussian_attack_100_dilation_10,part,8
28,gaussian_attack_100_dilation_10,scene,99
29,gaussian_attack_100_dilation_10,texture,32
